OBJECTID *,Shape *,FID_Macro,SiteID,CC_Num,Waterbody,Location,Date_,Sample_Type,Bioclass,Latitude,Longitude,EPT_S,BI,% Impervious,Drainage,Elevation,Boulder,Cobble,Gravel,Sand,Silt,Other_Substrate,Sub_Desc,Canopy,Temp_C,Sp_Cond,pH_SU,Diss_Oxy,Stream_Width,Channel_Width,Avg_Stream_Depth,MaxStream_Depth,Channel_Modification,Instream_Habitat,Substrate,Shade,Region,Basin,FID_Haw_Upper_Nuese_piedmont,FID_Haw_Upper_Nuese,BASIN,FID_Piedmont_statecl
1,Point,1140,BB223,3201,JAMES CR,NR SR 2028,1984-02-23T00:00:00Z,Full Scale,Good,35.161111,-79.351389,16,4.354717,0.0058742211838,3.81,319,0,0,0,99,0,<Null>,NA,6,<Null>,<Null>,<Null>,<Null>,1,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
2,Point,1141,BB223,4351,JAMES CR,NR SR 2028,1986-03-05T00:00:00Z,Full Scale,Good,35.161111,-79.351389,11,4.891729,0.0058742211838,3.81,319,0,0,0,99,0,<Null>,NA,1,<Null>,<Null>,<Null>,<Null>,1,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
3,Point,1142,BB500,10432,JAMES CR,OFF SR 2026,2008-06-30T00:00:00Z,Full Scale,Excellent,35.187222,-79.293333,29,4.505614,0.00843874750499,11.2,258,0,0,0,70,20,10,DETRITUS,100,25.4,23.4,5.0999999999999996,5.8,3,5,0.3,0.8,15,16,7,10,<Null>,<Null>,1,1,Cape Fear,1
4,Point,2623,BB235,6279,UT MCDEEDS CR,0FF SR 2029,1993-07-21T00:00:00Z,Full Scale,Not Rated,35.192222,-79.376111,0,8.085455,0.0658598726115,0.57,373,0,0,0,30,30,<Null>,NA,100,<Null>,<Null>,<Null>,<Null>,1,<Null>,0.2,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
5,Point,1627,BB335,7685,MILL CR,SR 1853,1998-07-21T00:00:00Z,Full Scale,Excellent,35.235556,-79.335278,30,4.774153,0.0539968380141,15.7,271,0,0,0,90,10,<Null>,NA,20,27,37,<Null>,5.4,6,<Null>,0.8,<Null>,15,13,7,2,<Null>,<Null>,1,1,Cape Fear,1
6,Point,1628,BB335,8182,MILL CR,SR 1853,2000-07-11T00:00:00Z,EPT,Excellent,35.235556,-79.335278,26,4.083146,0.0539968380141,15.7,271,0,0,5,85,5,<Null>,NA,70,26,40,6,<Null>,4,<Null>,0.5,<Null>,15,20,7,7,<Null>,<Null>,1,1,Cape Fear,1
7,Point,2640,IB109,9887,UT NICK'S CR,SR 1217,2006-05-05T00:00:00Z,Qual 4,Not Rated,35.235833,-79.493889,4,4.186047,NA,1,384,0,0,10,80,10,<Null>,NA,100,14.4,18,4,9.1999999999999993,2,<Null>,0.2,<Null>,4,13,4,9,<Null>,<Null>,1,1,Cape Fear,1
8,Point,1851,BB111,4776,NICKS CR,NC 22,1988-11-28T00:00:00Z,EPT,Good,35.253611,-79.4125,22,3.37549,NA,26.7,312,0,15,50,35,0,<Null>,NA,9,<Null>,<Null>,<Null>,<Null>,6,<Null>,0.4,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
9,Point,1852,BB111,6350,NICKS CR,NC 22,1993-08-24T00:00:00Z,EPT,Good,35.253611,-79.4125,20,3.629412,NA,26.7,312,10,10,40,30,10,<Null>,NA,90,<Null>,<Null>,<Null>,<Null>,5,<Null>,0.3,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,<Null>,1,1,Cape Fear,1
10,Point,1853,BB111,7682,NICKS CR,NC 22,1998-07-15T00:00:00Z,EPT,Good,35.253611,-79.4125,23,4.014286,NA,26.7,312,10,30,40,10,10,<Null>,NA,85,25,25,<Null>,5.2,5,<Null>,0.2,<Null>,15,13,12,10,<Null>,<Null>,1,1,Cape Fear,1
11,Point,1854,BB111,9208,NICKS CR,NC 22,2003-07-23T00:00:00Z,EPT,Good-Fair,35.253611,-79.4125,15,4.723077,NA,26.7,312,0,5,25,65,5,<Null>,NA,60,25,25,5.3,4.5,5,9,0.8,2,12,15,13,9,<Null>,<Null>,1,1,Cape Fear,1
12,Point,1855,BB111,11630,NICKS CR,NC 22,2013-09-11T00:00:00Z,EPT,Good-Fair,35.253611,-79.4125,15,4.127451,NA,26.7,312,30,20,30,20,<Null>,<Null>,NA,40,25.6,32.700000000000003,5.2,5.3,6,8,0.4,1,10,17,15,7,<Null>,<Null>,1,1,Cape Fear,1
