Col1,Col2,Col3,Col4,Name
falling,crk,at,sr,Falling
falling,creek,at,sr,Falling
mill,creek,at,sr,Mill
mill,crk,at,sr,Mill
neuse,riv,at,sr,Neuse
neuse,river,at,sr,Neuse
cotton,crk,at,sr,Cotton
cotton,crk,at,sr,Cotton
hannah,crk,at,sr,Hannah
hannah,creek,at,sr,Hannah
big,governors,crk,off,Big Governors
little,riv,at,nc,Little
little,river,at,nc,Little
hannah,crk,at,sr,Hannah
hannah,creek,at,sr,Hannah
hannah,creek,at,i,Hannah
ut,to,juniper,swamp,Juniper
bear,crk,at,nc,Bear
buffalo,creek,NA,NA,NA
persimmon,crk,at,sr,NA
buffalo,creek,NA,NA,NA
mclendons,crk,at,sr,McLendons
little,riv,at,sr,Little
little,river,at,sr,Little
black,crk,at,sr1162,Black
black,creek,at,sr,Black
black,creek,at,i,Black
deep,riv,at,nc,Deep
deep,riv,at,nc,Deep
deep,riv,at,nc,Deep
little,riv,at,sr,Little
deep,riv,at,sr,Deep
deep,riv,at,sr,Deep
middle,crk,at,nc,Middle
middle,creek,at,nc,Middle
little,riv,at,sr,Little
neuse,riv,at,us,Neuse
neuse,riv,at,us,Neuse
swift,crk,at,nc,Swift
swift,creek,at,nc,Swift
deep,river,at,"carbonton,",Deep
deep,riv,at,nc,Deep
swift,crk,at,sr,Swift
swift,ck,at,sr,Swift
little,riv,at,sr,Little
little,river,at,sr,Little
middle,ck,off,sr,Middle
little,river,near,sr,Little
middle,crk,at,hwy,Middle
middle,crk,at,nc,Middle
little,river,at,i,Little
deep,riv,at,deep,Deep
deep,riv,at,deep,Deep
deep,riv,at,us,Deep
deep,riv,at,us,Deep
deep,riv,at,us,Deep
little,riv,at,us,Little
little,river,at,us,Little
swift,creek,at,sr,Swift
swift,crk,at,sr,Swift
neuse,riv,at,sr,Neuse
neuse,river,at,sr,Neuse
middle,crk,at,sr,Middle
middle,creek,at,sr,Middle
swift,ck,at,nc,Swift
swift,crk,at,hwy,Swift
swift,crk,at,nc,Swift
deep,riv,at,csx,Deep
haw,riv,at,sr,Haw
haw,riv,at,sr,Haw
panther,cr,at,panther,Panther
deep,riv,at,sr,Deep
white,oake,ck,at,White Oak
deep,riv,at,sr,Deep
deep,riv,at,sr,Deep
rocky,riv,at,us,Rocky
deep,river,at,"moncure,",Deep
middle,creek,at,us,Middle
middle,crk,at,sr1375,Middle
middle,creek,at,sr,Middle
deep,riv,at,nc,Deep
neuse,river,at,nc,Neuse
neuse,riv,at,nc,Neuse
neuse,riv,at,hwy,Neuse
swift,ck,at,indian,Swift
haw,r,below,b.,Haw
haw,riv,below,jordan,Haw
tantraugh,branch,off,sr,Tantraugh
vestal,creek,nr,"asheboro,",Vestal
middle,crk,at,sr,Middle
middle,creek,at,sr,Middle
deep,riv,at,sr,Deep
deep,riv,at,sr,Deep
deep,riv,at,sr,Deep
neuse,river,at,sr,Neuse
neuse,riv,at,sr,Neuse
neuse,riv,at,sr,Neuse
ut,to,swift,crk,Swift
rocky,riv,at,nc,Rocky
rocky,riv,at,sr,Rocky
rocky,riv,at,sr,Rocky
robeson,crk,at,boat,Robeson
marks,ck,at,sr,Marks
ut,middle,creek,at,Middle
ut,middle,creek,at,Middle
swift,crk,at,sr,Swift
swift,creek,at,sr,Swift
neuse,riv,at,sr,Neuse
neuse,river,at,sr,Neuse
neuse,riv,at,sr,Neuse
loves,crk,off,moonrise,Loves
loves,creek,at,waste,Loves
deep,riv,at,sr,Deep
deep,riv,at,sr,Deep
deep,riv,at,sr,Deep
haw,river,at,us,Haw
poplar,crk,at,sr,Poplar
poplar,creek,at,sr,Poplar
haw,riv,at,us,Haw
loves,creek,at,progress,Loves
rocky,riv,at,us,Rocky
rocky,riv,at,us,Rocky
deep,riv,at,franklinville,Deep
williams,crk,nr,apex,Williams
walnut,creek,at,sr,Walnut
walnut,crk,at,sr,Walnut
deep,riv,at,cedar,Deep
snipes,crk,off,sr,Snipes
white,oak,cr,at,White Oak
hasketts,cr,below,sr2149,Hasketts
deep,riv,at,sr,Deep
deep,riv,at,sr,Deep
haskett,crk,at,us,Hasketts
haskett,crk,at,asheboro,Hasketts
haskett,crk,at,asheboro,Hasketts
haw,river,near,"bynum,",Haw
haskett,crk,at,sr,Hasketts
haskett,crk,at,sr,Hasketts
buffalo,ck,at,sr,Buffalo
haskett,crk,at,sr,Hasketts
haw,riv,at,sr,Haw
haw,riv,at,sr,Haw
haw,riv,at,sr,Haw
pokeberry,creek,nr,"pittsboro,",Pokeberry
brooks,cr,at,eddie,Brooks
crabtree,creek,at,sr,Crabtree
neuse,river,at,us,Neuse
pigeon,house,branch,at,Pigeon House
pigeon,house,crk,at,Pigeon House
neuse,river,below,milburnie,Neuse
deep,riv,at,sr,Deep
deep,riv,at,sr,Deep
deep,riv,at,sr,Deep
neuse,riv,above,milburnie,Neuse
neuse,river,above,milburnie,Neuse
crabtree,crk,at,farmers,Crabtree
crabtree,crk,at,us,Crabtree
crabtree,crk,at,sr,Crabtree
deep,riv,at,sr,Deep
deep,riv,at,bus,Deep
deep,riv,at,randleman,Deep
crabtree,crk,at,lassiter,Crabtree
crabtree,creek,at,lassiter,Crabtree
crabtree,crk,at,sr,Crabtree
little,river,at,sr,Little
