BI,FC,SC,TN,TP,TU,Good,Fair,Poor,Low,Medium,High
8.101,248.749,144.899,2.698,0.212,12.667,0,0,1,0.18,0.61,0.21
7.864,150.741,80.47,0.432,0.035,6.973,0,0.19,0.81,0.5,0.5,0
7.843,564.823,225.497,3.666,0.32,10.084,0,0.09,0.91,0,0.81,0.19
7.838,211.04,173.304,1.221,0.141,7.927,0,0,1,0,0.86,0.14
7.782,780.523,429.943,4.132,0.546,15.205,0,0.13,0.87,0,0.7000000000000001,0.3
7.781,893.576,143.462,1.942,0.082,16.843,0,0,1,0,0.7000000000000001,0.3
7.78,489.444,117.557,1.265,0.294,20.104,0,0.07,0.93,0,0.6,0.4
7.768,1747.351,128.695,1.862,0.196,20.945,0,0.1,0.9,0,0.72,0.28
7.67,477.725,193.272,4.147,0.542,12.097,0,0.18,0.8200000000000001,0,0.71,0.29
3.566,1836.592,195.27,2.211,0.165,22.876,1,0,0,0.71,0.29,0
